File accession,Actual Age,Predicted Mean Age,Predicted Stddev,Model Type
ENCFF015KVF,37.5,39.182262,1.4265245,simple_nn 16 5 0.0002 0.1 0.05
ENCFF040ZRG,37.5,50.09171,1.6291796,simple_nn 16 5 0.0002 0.1 0.05
ENCFF042DZJ,53.5,54.609493,1.7148782,simple_nn 16 5 0.0002 0.1 0.05
ENCFF050QAA,53.5,48.26254,1.5961466,simple_nn 16 5 0.0002 0.1 0.05
ENCFF189EDX,53.5,47.807247,1.5878441,simple_nn 16 5 0.0002 0.1 0.05
ENCFF199VHQ,37.5,40.799877,1.4652877,simple_nn 16 5 0.0002 0.1 0.05
ENCFF249SJY,53.5,46.0783,1.5574965,simple_nn 16 5 0.0002 0.1 0.05
ENCFF261NNA,53.5,50.23002,1.6315299,simple_nn 16 5 0.0002 0.1 0.05
ENCFF266EAY,73.5,60.87956,1.8303232,simple_nn 16 5 0.0002 0.1 0.05
ENCFF277VLD,54.5,46.96866,1.5753865,simple_nn 16 5 0.0002 0.1 0.05
ENCFF279LFO,54.5,46.287975,1.5629896,simple_nn 16 5 0.0002 0.1 0.05
ENCFF281RUL,37.5,44.085487,1.5246375,simple_nn 16 5 0.0002 0.1 0.05
ENCFF354XEZ,78.5,68.83548,2.000853,simple_nn 16 5 0.0002 0.1 0.05
ENCFF381WIP,30.5,34.19963,1.2597568,simple_nn 16 5 0.0002 0.1 0.05
ENCFF393ZPK,30.5,37.746906,1.3880752,simple_nn 16 5 0.0002 0.1 0.05
ENCFF397QED,-0.4657534246575342,3.845039,0.6601394,simple_nn 16 5 0.0002 0.1 0.05
ENCFF408FSY,-0.5424657534246575,-1.8245336,0.60933226,simple_nn 16 5 0.0002 0.1 0.05
ENCFF421HUI,54.5,54.242184,1.7091216,simple_nn 16 5 0.0002 0.1 0.05
ENCFF432IKT,40.5,53.292435,1.689999,simple_nn 16 5 0.0002 0.1 0.05
ENCFF440CUG,54.5,47.391693,1.583441,simple_nn 16 5 0.0002 0.1 0.05
ENCFF451VSQ,37.5,45.132324,1.5409737,simple_nn 16 5 0.0002 0.1 0.05
ENCFF491EGH,46.5,57.779022,1.7731137,simple_nn 16 5 0.0002 0.1 0.05
ENCFF545KUT,34.5,7.164642,0.71394324,simple_nn 16 5 0.0002 0.1 0.05
ENCFF560UZQ,53.5,57.948,1.7761692,simple_nn 16 5 0.0002 0.1 0.05
ENCFF576IEM,37.5,45.17567,1.5414985,simple_nn 16 5 0.0002 0.1 0.05
ENCFF650YSY,54.5,45.575752,1.5485116,simple_nn 16 5 0.0002 0.1 0.05
ENCFF666WXS,-0.5013698630136987,15.086309,0.8303258,simple_nn 16 5 0.0002 0.1 0.05
ENCFF685DRX,51.5,49.580658,1.6198304,simple_nn 16 5 0.0002 0.1 0.05
ENCFF708YOQ,-0.4602739726027397,-1.4794543,0.6109388,simple_nn 16 5 0.0002 0.1 0.05
ENCFF769PAP,51.5,52.857246,1.6811403,simple_nn 16 5 0.0002 0.1 0.05
ENCFF780OBE,65.5,44.131283,1.5277461,simple_nn 16 5 0.0002 0.1 0.05
ENCFF805RHU,30.5,43.260715,1.5090126,simple_nn 16 5 0.0002 0.1 0.05
ENCFF809HLO,30.5,36.242695,1.3272681,simple_nn 16 5 0.0002 0.1 0.05
ENCFF813NAU,59.5,46.50965,1.564956,simple_nn 16 5 0.0002 0.1 0.05
ENCFF825PIN,62.5,40.453815,1.4565994,simple_nn 16 5 0.0002 0.1 0.05
ENCFF852MOU,0.0,-1.1616615,0.6154313,simple_nn 16 5 0.0002 0.1 0.05
ENCFF865ZUH,59.5,43.653236,1.5197219,simple_nn 16 5 0.0002 0.1 0.05
ENCFF870DKK,37.5,42.282906,1.4928498,simple_nn 16 5 0.0002 0.1 0.05
ENCFF870FAT,53.5,52.198524,1.6688178,simple_nn 16 5 0.0002 0.1 0.05
ENCFF873KYO,54.5,46.16998,1.5588992,simple_nn 16 5 0.0002 0.1 0.05
