,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 5 0.0001 0.0 0.01 300 0.1,97.23910903930664,190.32973098754883,1.3497483730316162,6.60125458240509,21.942113876342773,95.04470634460449,4.768294632434845,100.66110801696777,1.7034346461296082,6.9361653327941895
simple_nn 16 3 0.0001 0.0 0.01 50 0.1,53.29347801208496,146.19325637817383,1.4153586030006409,7.0863730907440186,15.535757780075073,74.21032905578613,11.087931394577026,99.73458290100098,2.6234543919563293,6.639767646789551
simple_nn 16 5 0.0001 0.0 0.01 50 0.1,52.140342712402344,133.90101623535156,1.4174645245075226,6.382057547569275,18.721900463104248,74.88066101074219,7.713004469871521,83.74658393859863,2.124931663274765,6.466012358665466
simple_nn 16 3 0.0001 0.0 0.01 150 0.1,66.41361618041992,167.39994049072266,1.4185511767864227,6.960673809051514,16.388335943222046,79.81577777862549,8.657831192016602,106.90371036529541,2.264587163925171,6.904593110084534
simple_nn 16 3 0.0001 0.0 0.01 300 0.1,96.45504760742188,191.17404556274414,1.426236480474472,6.564453840255737,19.685673713684082,91.72478294372559,8.508274674415588,113.79674434661865,2.1909255981445312,6.640348196029663
simple_nn 16 3 0.0002 0.0 0.01 150 0.1,60.13818168640137,158.55208015441895,1.4641318023204803,6.936459541320801,13.745233535766602,75.88998889923096,4.675944209098816,103.34790420532227,1.6751717031002045,6.862070202827454
simple_nn 16 3 0.0002 0.0 0.01 300 0.1,96.74768829345703,193.53936386108398,1.4998441636562347,6.5643473863601685,15.186601161956787,68.5244665145874,3.6076517701148987,89.56620407104492,1.4616713225841522,6.3187936544418335
simple_nn 16 3 0.0001 0.0 0.01 450 0.1,129.6744842529297,212.94485092163086,1.5015454292297363,6.490062832832336,19.829957962036133,72.28676509857178,6.4504945278167725,83.49408721923828,1.9676502048969269,6.440739154815674
simple_nn 16 5 0.0001 0.0 0.01 450 0.1,129.91404151916504,234.99706268310547,1.5129386186599731,7.053879380226135,24.141183376312256,95.50570678710938,6.255731284618378,105.75541877746582,1.8943043053150177,6.828651189804077
simple_nn 16 5 0.0002 0.0 0.01 300 0.1,95.61972618103027,183.77520370483398,1.516418993473053,6.460256338119507,19.914443969726562,74.81015968322754,3.913865089416504,90.03761291503906,1.4977282881736755,6.412604570388794
