File accession,Actual Age,Predicted Mean Age
ENCFF012XEU,-0.4383561643835616,38.64072397133957
ENCFF020XSD,32.5,38.39256831783741
ENCFF030GMS,54.5,47.64013590049063
ENCFF041ZOQ,54.5,43.87518334994352
ENCFF077VAZ,3.5,33.74808078401591
ENCFF105GJO,61.5,47.79212537992966
ENCFF141USZ,-0.4712328767123288,33.254563907419595
ENCFF156VCI,34.5,37.77968335345551
ENCFF170ULS,-0.3835616438356164,-14.297853218568456
ENCFF236USC,75.5,55.83397115886143
ENCFF242OBC,54.5,45.59252628934529
ENCFF257SDT,-0.3835616438356164,1.5860472893241777
ENCFF278QLF,40.5,41.356781176274275
ENCFF290KQT,3.5,36.58695239106344
ENCFF290QEI,51.5,48.00215314609988
ENCFF310EWR,59.5,48.83415865171006
ENCFF344RCN,50.5,51.31330620890137
ENCFF405NQM,75.5,59.026596235967894
ENCFF415XJI,51.5,47.777006794438144
ENCFF477QJW,37.5,43.781341494000145
ENCFF479EWB,-0.5013698630136987,1.4013557797818024
ENCFF511FQU,81.5,52.213008415724246
ENCFF513TUY,25.5,54.56804985253181
ENCFF541CWH,0.0,25.344768978437273
ENCFF586KGP,40.5,43.481270914894914
ENCFF653HPK,75.5,52.28876007281859
ENCFF660HMS,51.5,48.674561834090625
ENCFF676ZJY,81.5,55.006280124739334
ENCFF693FLA,37.5,44.14360745602727
ENCFF696JHT,54.5,48.81313619071528
ENCFF709UON,73.5,54.035851327803876
ENCFF710LPB,37.5,44.436640115586634
ENCFF722KQC,53.5,46.70634243010161
ENCFF733YQV,59.5,45.345843768688574
ENCFF769IGH,54.5,46.59102952508505
ENCFF770IYI,37.5,43.284458923834826
ENCFF875SRL,37.5,35.03438794942699
ENCFF945XUU,51.5,48.5647619269332
ENCFF958EIZ,53.5,56.081731545143576
ENCFF966VWQ,75.5,54.82363730933692
