,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 5 0.0003 0.0 0.01 50 0.1,34.99995708465576,103.35751724243164,1.4423206448554993,5.618435263633728,14.628040552139282,49.477986335754395,4.697695851325989,72.80299758911133,1.665884792804718,5.466626286506653
simple_nn 16 3 0.0003 0.0 0.01 50 0.1,35.42386245727539,112.41730880737305,1.3671514391899109,5.8657965660095215,9.98026704788208,45.73712348937988,6.055791258811951,83.99474334716797,1.809889942407608,6.091655373573303
simple_nn 16 5 0.0003 0.0 0.01 50 0.2,37.55071449279785,115.33485221862793,1.64871746301651,5.9153441190719604,14.428054332733154,57.19849872589111,5.186008810997009,85.20070934295654,1.7235768139362335,6.2536842823028564
simple_nn 16 3 0.0003 0.0 0.01 50 0.2,38.43601703643799,123.52417373657227,1.8259941339492798,6.381946325302124,10.376524686813354,63.15709352493286,6.030857086181641,96.97940254211426,1.8316210210323334,6.704524517059326
simple_nn 16 3 0.0002 0.0 0.01 50 0.1,38.85263633728027,118.04493522644043,1.1736195087432861,6.1807541847229,11.425188541412354,58.436349391937256,5.65570330619812,83.91642761230469,1.84030881524086,6.284547209739685
simple_nn 16 5 0.0003 0.0 0.01 50 0.3,39.090707778930664,109.60376358032227,1.7826129496097565,6.068789124488831,15.471544027328491,54.20368671417236,6.593638777732849,86.68487930297852,1.9245167672634125,6.173723578453064
simple_nn 16 5 0.0002 0.0 0.01 50 0.1,39.76483154296875,117.79973030090332,1.1845736801624298,6.080935597419739,17.00899839401245,60.31026840209961,8.533280909061432,76.71955490112305,2.0147884488105774,5.816480040550232
simple_nn 16 3 0.0002 0.0 0.01 50 0.2,40.290303230285645,123.56190872192383,1.430778592824936,5.992504358291626,11.495241165161133,56.999637603759766,5.965927362442017,92.63401126861572,1.894091159105301,6.233973979949951
simple_nn 16 3 0.0003 0.0 0.01 50 0.3,40.29929542541504,120.77971076965332,2.0079579651355743,6.616764307022095,10.61922025680542,48.67385149002075,6.990105152130127,76.45355796813965,1.9732089340686798,6.268917202949524
simple_nn 16 3 0.0002 0.0 0.01 50 0.3,42.575406074523926,126.67539596557617,1.6083486676216125,6.394129157066345,11.84936809539795,59.47724723815918,6.507567048072815,87.76399993896484,1.9654114544391632,6.611690044403076
