,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 48 5 0.0003 0.0 0.01 450 0.1,168.9864273071289,317.8704376220703,2.575074851512909,8.022475481033325,21.717995166778564,115.98329162597656,4.205681085586548,141.71110153198242,1.4950411021709442,7.590750813484192
simple_nn 48 5 0.0002 0.0 0.01 450 0.3,168.28585052490234,301.25235748291016,2.673088848590851,7.738139271736145,22.874825477600098,159.46354866027832,4.321643710136414,161.76780223846436,1.598493903875351,7.9808067083358765
simple_nn 48 5 0.0002 0.0 0.01 300 0.1,124.7562026977539,268.2126998901367,2.2061450481414795,7.9803032875061035,20.864656925201416,128.2741584777832,4.366795122623444,159.6633129119873,1.6004137098789215,7.721791386604309
simple_nn 48 3 0.0002 0.0 0.01 450 0.2,166.5048484802246,255.66017150878906,2.6829681992530823,6.903281927108765,17.814436435699463,122.83886337280273,4.598182678222656,137.13272857666016,1.5757595896720886,7.775280952453613
simple_nn 48 5 0.0002 0.0 0.01 150 0.2,92.61365509033203,247.35292053222656,2.2520710229873657,8.349221587181091,19.544602870941162,152.5256233215332,4.673030078411102,172.19805145263672,1.5998356640338898,8.67312240600586
simple_nn 48 3 0.0002 0.0 0.01 300 0.3,128.86926651000977,252.1210060119629,2.726051926612854,7.636443853378296,17.1935133934021,148.10066986083984,4.689711093902588,149.9735622406006,1.5976425111293793,7.914588570594788
simple_nn 48 5 0.0003 0.0 0.01 450 0.2,172.9319839477539,300.22037506103516,2.816252112388611,7.455075144767761,22.7663516998291,117.90475463867188,4.747843027114868,126.82077980041504,1.5918277502059937,7.190544009208679
simple_nn 48 3 0.0003 0.0 0.01 300 0.1,124.97993850708008,249.27448272705078,2.462019681930542,7.701662182807922,15.754948377609253,104.19848251342773,4.754920184612274,134.10950660705566,1.6440061330795288,7.3878172636032104
simple_nn 48 5 0.0002 0.0 0.01 300 0.3,132.4057273864746,258.87480545043945,2.8155677914619446,7.7149375677108765,21.61658525466919,133.8067798614502,4.803063213825226,149.30118560791016,1.626478224992752,7.801969408988953
simple_nn 48 5 0.0002 0.0 0.01 300 0.2,125.93284797668457,253.41426849365234,2.4999902844429016,7.593128204345703,21.92047119140625,133.3102684020996,4.822889804840088,138.2253475189209,1.7043810188770294,7.820351719856262
