,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 3 0.0001 0.0 0.01 50 0.1,65.9385871887207,171.49312591552734,1.7947413623332977,7.050407648086548,17.200729608535767,94.25664806365967,13.500844240188599,114.29876899719238,2.838637053966522,7.3814287185668945
simple_nn 16 3 0.0001 0.0 0.01 50 0.2,70.58205604553223,205.32413482666016,2.2080265283584595,7.573595643043518,18.640686511993408,140.74974060058594,14.947144746780396,180.51287078857422,2.935853958129883,8.63501238822937
simple_nn 16 3 0.0001 0.0 0.01 50 0.3,74.33242225646973,238.23720169067383,2.6858739852905273,8.672362565994263,21.89521884918213,140.11196327209473,22.1199152469635,187.2382869720459,3.507594048976898,8.94722831249237
simple_nn 16 3 0.0001 0.0 0.01 150 0.1,78.45758056640625,188.52315521240234,1.9133426249027252,7.144142985343933,19.2730393409729,102.50326347351074,13.12404727935791,142.8791790008545,2.733398735523224,7.781888484954834
simple_nn 16 3 0.0001 0.0 0.01 150 0.2,81.8869457244873,225.3360824584961,2.262401670217514,8.199256300926208,19.27820920944214,138.5968532562256,13.157003402709961,169.8561782836914,2.7425190210342407,8.336529850959778
simple_nn 16 3 0.0001 0.0 0.01 150 0.3,84.2862491607666,222.60164260864258,2.4812589287757874,7.843851208686829,19.351858139038086,125.51625061035156,13.387423753738403,176.29361724853516,2.770327568054199,8.722765326499939
simple_nn 16 3 0.0001 0.0 0.01 300 0.1,108.5378475189209,227.78028869628906,1.813661277294159,7.402826428413391,20.341781616210938,128.02610397338867,9.21337902545929,145.21487998962402,2.3307310044765472,8.036673784255981
simple_nn 16 3 0.0001 0.0 0.01 300 0.2,112.30865287780762,252.44248962402344,2.2534322142601013,7.7225295305252075,19.847468376159668,139.66550636291504,8.35358464717865,161.29636764526367,2.2497519850730896,8.524128437042236
simple_nn 16 3 0.0001 0.0 0.01 300 0.3,114.17044067382812,258.39093017578125,2.3933480978012085,7.967332243919373,20.215896606445312,133.77119064331055,10.451133847236633,173.88827896118164,2.4526312947273254,8.44887089729309
simple_nn 16 3 0.0001 0.0 0.01 450 0.1,141.08583068847656,272.3384552001953,1.9703937470912933,7.676545262336731,20.553890228271484,119.0499210357666,7.999353885650635,147.1056728363037,2.190161496400833,7.944610953330994
simple_nn 16 3 0.0001 0.0 0.01 450 0.2,147.46355819702148,254.24261474609375,2.1953553557395935,7.251211762428284,21.628440856933594,106.65077018737793,9.097377181053162,120.02586364746094,2.280048429965973,7.568215727806091
