,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 48 3 0.0002 0.0 0.01 450 0.2,154.2179412841797,245.37591934204102,2.082554370164871,7.06359326839447,16.02906036376953,109.5439510345459,2.8517966270446777,115.96716117858887,1.2519150972366333,7.494240760803223
simple_nn 48 3 0.0002 0.0 0.01 300 0.1,111.96479606628418,215.81243133544922,1.8066204488277435,7.142545461654663,15.499433040618896,99.76607704162598,3.419525444507599,112.66075229644775,1.429360181093216,7.017999172210693
simple_nn 48 3 0.0003 0.0 0.01 300 0.2,112.85533714294434,199.41847610473633,2.029356449842453,6.580457925796509,14.90665864944458,80.87727737426758,3.4556614756584167,90.24070930480957,1.3876250088214874,6.347722411155701
simple_nn 48 3 0.0003 0.0 0.01 300 0.3,116.60270309448242,220.4459342956543,2.4511614441871643,7.520107626914978,14.867958784103394,115.13301277160645,3.5051069259643555,125.68579483032227,1.42613485455513,7.413886666297913
simple_nn 48 3 0.0002 0.0 0.01 300 0.2,114.1434440612793,219.97482299804688,1.9950940907001495,7.259602904319763,15.628788471221924,96.75631904602051,3.512116014957428,110.70294761657715,1.4178679585456848,7.020966172218323
simple_nn 48 3 0.0003 0.0 0.01 450 0.2,159.09487915039062,279.12067794799805,2.326518565416336,7.482813358306885,16.280888319015503,99.56865310668945,3.5418768525123596,116.08248329162598,1.3964910209178925,6.8845953941345215
simple_nn 48 3 0.0002 0.0 0.01 450 0.3,155.5300064086914,257.5078315734863,2.366370141506195,7.2248969078063965,17.175166130065918,116.68886375427246,3.5449469089508057,116.00139427185059,1.4573863446712494,7.2041335105896
simple_nn 16 3 0.0002 0.0 0.01 300 0.1,96.74768829345703,193.53936386108398,1.4998441636562347,6.5643473863601685,15.186601161956787,68.5244665145874,3.6076517701148987,89.56620407104492,1.4616713225841522,6.3187936544418335
simple_nn 16 3 0.0003 0.0 0.01 450 0.1,149.95146560668945,272.7674789428711,1.5938614904880524,7.429571270942688,14.40005350112915,73.94824409484863,3.685806691646576,109.7186222076416,1.4279461801052094,6.870380163192749
simple_nn 48 3 0.0003 0.0 0.01 300 0.1,110.60189819335938,212.74667739868164,1.827303022146225,7.1776649951934814,14.593336820602417,91.17691993713379,3.700299620628357,110.83764839172363,1.494587242603302,7.092947363853455
