,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 3 0.0002 0.0 0.01 50 0.1,51.01372051239014,138.3160743713379,2.411873459815979,6.812326192855835,13.924379825592041,49.32543087005615,14.851513624191284,100.34228897094727,2.9235821962356567,6.772422790527344
simple_nn 16 5 0.0002 0.0 0.01 50 0.2,56.55299091339111,143.31468200683594,2.969037711620331,7.090995907783508,17.633574962615967,51.54627990722656,11.492382049560547,92.69753837585449,2.5579193830490112,6.726528525352478
simple_nn 16 3 0.0002 0.0 0.01 50 0.2,56.654343605041504,139.7505760192871,2.89390367269516,6.9798890352249146,13.540719747543335,52.07220458984375,12.544846534729004,113.40509796142578,2.6640303134918213,7.210250735282898
simple_nn 16 5 0.0002 0.0 0.01 50 0.1,57.57747745513916,129.09626579284668,2.830889105796814,6.521170496940613,18.246874809265137,51.98211717605591,13.94418978691101,95.66577529907227,2.5982993245124817,6.544385552406311
simple_nn 16 3 0.0001 0.0 0.01 50 0.1,62.36726665496826,157.8504638671875,2.3463383316993713,7.26917564868927,18.262655019760132,76.12952423095703,16.13282084465027,114.78498268127441,3.108021914958954,7.2718665599823
simple_nn 16 5 0.0002 0.0 0.01 50 0.3,63.02989959716797,135.47603034973145,3.483370840549469,6.876373767852783,18.50425100326538,52.18809413909912,16.711227416992188,106.66457557678223,2.880906581878662,7.063398957252502
simple_nn 16 3 0.0002 0.0 0.01 50 0.3,66.05805015563965,157.45319175720215,3.7716917991638184,7.519737720489502,14.428609609603882,63.20595073699951,18.051444053649902,119.01665306091309,3.006475031375885,7.654115200042725
simple_nn 16 5 0.0001 0.0 0.01 50 0.1,67.12172412872314,141.09741401672363,2.6113505959510803,6.4787551164627075,27.09859609603882,77.14573287963867,22.336934328079224,103.6762752532959,3.5661938786506653,6.989209890365601
simple_nn 16 5 0.0001 0.0 0.01 50 0.2,69.68227577209473,155.3218231201172,2.785591721534729,6.850801706314087,22.758787155151367,73.70926570892334,15.824805736541748,107.53243446350098,3.0866262316703796,6.991389989852905
simple_nn 16 3 0.0001 0.0 0.01 50 0.2,70.64829540252686,145.7098560333252,2.927519679069519,6.45826256275177,23.65178680419922,63.41510486602783,24.957586765289307,88.91564273834229,3.6212746500968933,6.509579062461853
