,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 3 0.0002 0.0 0.01 50 0.1,57.4157133102417,175.23199462890625,2.893988609313965,7.182974815368652,15.472657442092896,74.77165699005127,18.58452081680298,141.30001640319824,3.1494632959365845,7.189876079559326
simple_nn 16 5 0.0002 0.0 0.01 50 0.1,57.89346218109131,145.48492431640625,2.835542678833008,6.933548808097839,20.595086097717285,59.42165660858154,15.857659578323364,100.69333839416504,2.9618672728538513,6.406548202037811
simple_nn 16 5 0.0002 0.0 0.01 50 0.2,60.471397399902344,171.2033748626709,3.133743643760681,7.367436647415161,19.107964992523193,66.4115858078003,13.441182136535645,118.63737678527832,2.5835059881210327,6.526975512504578
simple_nn 16 3 0.0002 0.0 0.01 50 0.2,61.53757286071777,155.170259475708,3.220243275165558,6.987185120582581,15.193734645843506,62.29391574859619,16.400145769119263,106.29088401794434,2.9722915291786194,6.707299113273621
simple_nn 16 5 0.0003 0.0 0.01 50 0.2,62.679901123046875,157.24888038635254,3.7378209233283997,7.301603436470032,17.590839862823486,46.17465829849243,18.937353372573853,102.94330024719238,3.026267945766449,6.57789671421051
simple_nn 16 3 0.0001 0.0 0.01 50 0.1,66.994704246521,180.11162185668945,2.360130548477173,7.396795034408569,19.146944999694824,91.77329349517822,16.942750215530396,126.00960540771484,3.17552649974823,7.414005517959595
simple_nn 16 3 0.0002 0.0 0.01 50 0.3,67.1863145828247,157.42888259887695,3.6965736150741577,7.258167743682861,15.69302248954773,76.56292247772217,18.16951584815979,122.94323348999023,3.0496087670326233,6.9742783308029175
simple_nn 16 3 0.0003 0.0 0.01 50 0.2,67.24018287658691,180.81039428710938,3.894605576992035,8.308470964431763,13.807385206222534,56.78292942047119,26.01273012161255,134.0950412750244,3.4799994230270386,7.863281726837158
simple_nn 16 5 0.0003 0.0 0.01 50 0.1,68.01996040344238,160.2311553955078,3.9463877081871033,7.230225205421448,17.602242469787598,44.69660997390747,25.160544395446777,114.62529754638672,3.4284958839416504,6.681647896766663
simple_nn 16 5 0.0002 0.0 0.01 50 0.3,70.53247261047363,174.370454788208,3.680765926837921,7.522244215011597,23.356893062591553,67.9257116317749,24.14825677871704,135.4872932434082,3.5131282806396484,7.545218348503113
