File accession,Actual Age,Predicted Mean Age,Predicted Stddev,Model Type
ENCFF015KVF,37.5,42.47775411605835,0.41720212,simple_nn 16 5 0.0002 0.1 0.05
ENCFF040ZRG,37.5,52.987720131874084,0.47188383,simple_nn 16 5 0.0002 0.1 0.05
ENCFF042DZJ,53.5,55.15435349941254,0.4543868,simple_nn 16 5 0.0002 0.1 0.05
ENCFF050QAA,53.5,58.722615242004395,0.4626729,simple_nn 16 5 0.0002 0.1 0.05
ENCFF189EDX,53.5,53.5345892906189,0.43605822,simple_nn 16 5 0.0002 0.1 0.05
ENCFF199VHQ,37.5,40.49721938371658,0.41078275,simple_nn 16 5 0.0002 0.1 0.05
ENCFF249SJY,53.5,52.256818890571594,0.4411744,simple_nn 16 5 0.0002 0.1 0.05
ENCFF261NNA,53.5,55.38693141937256,0.42952406,simple_nn 16 5 0.0002 0.1 0.05
ENCFF266EAY,73.5,45.51494312286377,0.42798787,simple_nn 16 5 0.0002 0.1 0.05
ENCFF277VLD,54.5,48.09083151817322,0.4287696,simple_nn 16 5 0.0002 0.1 0.05
ENCFF279LFO,54.5,45.934619784355164,0.41330162,simple_nn 16 5 0.0002 0.1 0.05
ENCFF281RUL,37.5,46.13297128677368,0.41596016,simple_nn 16 5 0.0002 0.1 0.05
ENCFF354XEZ,78.5,78.1328992843628,0.5221037,simple_nn 16 5 0.0002 0.1 0.05
ENCFF381WIP,30.5,34.82026660442352,0.575537,simple_nn 16 5 0.0002 0.1 0.05
ENCFF393ZPK,30.5,35.841595470905304,0.5273146,simple_nn 16 5 0.0002 0.1 0.05
ENCFF397QED,-0.4657534246575342,-0.6757206615632638,0.97292954,simple_nn 16 5 0.0002 0.1 0.05
ENCFF408FSY,-0.5424657534246575,-0.2801996898868018,0.9310248,simple_nn 16 5 0.0002 0.1 0.05
ENCFF421HUI,54.5,53.37198626995087,0.43135592,simple_nn 16 5 0.0002 0.1 0.05
ENCFF432IKT,40.5,50.83437478542328,0.42168614,simple_nn 16 5 0.0002 0.1 0.05
ENCFF440CUG,54.5,48.87459695339203,0.4320851,simple_nn 16 5 0.0002 0.1 0.05
ENCFF451VSQ,37.5,50.686867237091064,0.4420596,simple_nn 16 5 0.0002 0.1 0.05
ENCFF491EGH,46.5,53.44849503040314,0.4386449,simple_nn 16 5 0.0002 0.1 0.05
ENCFF545KUT,34.5,20.548967082053423,0.69940525,simple_nn 16 5 0.0002 0.1 0.05
ENCFF560UZQ,53.5,55.57252311706543,0.4513817,simple_nn 16 5 0.0002 0.1 0.05
ENCFF576IEM,37.5,50.21405351161957,0.39594442,simple_nn 16 5 0.0002 0.1 0.05
ENCFF650YSY,54.5,46.29194438457489,0.42212442,simple_nn 16 5 0.0002 0.1 0.05
ENCFF666WXS,-0.5013698630136987,-0.06390379603985663,0.91485363,simple_nn 16 5 0.0002 0.1 0.05
ENCFF685DRX,51.5,47.61154901981354,0.39267203,simple_nn 16 5 0.0002 0.1 0.05
ENCFF708YOQ,-0.4602739726027397,-0.2115715838301805,0.92624867,simple_nn 16 5 0.0002 0.1 0.05
ENCFF769PAP,51.5,52.82620108127594,0.42418724,simple_nn 16 5 0.0002 0.1 0.05
ENCFF780OBE,65.5,46.43267524242401,0.5145129,simple_nn 16 5 0.0002 0.1 0.05
ENCFF805RHU,30.5,38.80247849225998,0.35220945,simple_nn 16 5 0.0002 0.1 0.05
ENCFF809HLO,30.5,37.19235360622406,0.5087105,simple_nn 16 5 0.0002 0.1 0.05
ENCFF813NAU,59.5,49.833139419555664,0.41536048,simple_nn 16 5 0.0002 0.1 0.05
ENCFF825PIN,62.5,41.24794125556946,0.54645824,simple_nn 16 5 0.0002 0.1 0.05
ENCFF852MOU,0.0,-0.29695682219268993,0.9331171,simple_nn 16 5 0.0002 0.1 0.05
ENCFF865ZUH,59.5,36.47909504175186,0.48967314,simple_nn 16 5 0.0002 0.1 0.05
ENCFF870DKK,37.5,43.07819843292236,0.4095504,simple_nn 16 5 0.0002 0.1 0.05
ENCFF870FAT,53.5,46.54152536392212,0.4201911,simple_nn 16 5 0.0002 0.1 0.05
ENCFF873KYO,54.5,47.925965428352356,0.43158972,simple_nn 16 5 0.0002 0.1 0.05
ENCFF888VZZ,54.5,51.5384646654129,0.44801947,simple_nn 16 5 0.0002 0.1 0.05
ENCFF917DEL,37.5,42.456602931022644,0.4168813,simple_nn 16 5 0.0002 0.1 0.05
ENCFF922PBC,34.5,35.70178586244583,0.41718438,simple_nn 16 5 0.0002 0.1 0.05
ENCFF928LLI,51.5,54.75171744823456,0.4325763,simple_nn 16 5 0.0002 0.1 0.05
ENCFF963VCR,34.5,37.22486770153046,0.5413222,simple_nn 16 5 0.0002 0.1 0.05
ENCFF016YLR,46.5,66.27096223831177,0.38653252,simple_nn 16 5 0.0002 0.1 0.05
ENCFF032FEA,-0.4602739726027397,-0.4333232869887117,1.0686412,simple_nn 16 5 0.0002 0.1 0.05
ENCFF034PBB,76.5,59.46816384792328,0.4567222,simple_nn 16 5 0.0002 0.1 0.05
ENCFF070TRV,53.5,63.15258312225342,0.44054997,simple_nn 16 5 0.0002 0.1 0.05
ENCFF070YVX,53.5,60.59891486167908,0.46278393,simple_nn 16 5 0.0002 0.1 0.05
