,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 3 0.0003 0.0 0.01 50 0.1,36.25077533721924,113.04745864868164,1.665955364704132,6.280323147773743,10.42391562461853,50.91263771057129,6.672725081443787,85.48033618927002,1.8722567856311798,6.636392831802368
simple_nn 16 3 0.0003 0.0 0.01 50 0.2,41.15881538391113,116.66371726989746,2.147866904735565,6.446348071098328,10.552608728408813,44.548118591308594,6.4141517877578735,78.31267261505127,1.8560088276863098,6.0603638887405396
simple_nn 16 3 0.0003 0.0 0.01 50 0.3,42.21329116821289,121.40785217285156,2.312863349914551,6.16078507900238,10.84778118133545,48.42789363861084,7.493551015853882,111.8414421081543,2.008076310157776,7.51345694065094
simple_nn 16 3 0.0002 0.0 0.01 50 0.1,43.55819320678711,146.47222709655762,1.7353253662586212,7.113602638244629,11.771066427230835,70.61513328552246,7.747989773750305,118.46804618835449,2.078523576259613,7.308160305023193
simple_nn 16 3 0.0003 0.05 0.01 50 0.1,49.13642692565918,122.21233558654785,2.7710893154144287,6.500136017799377,11.927555561065674,30.966472625732422,16.89229941368103,85.20583152770996,3.0571353435516357,6.174430847167969
simple_nn 16 3 0.0002 0.0 0.01 50 0.3,47.633482933044434,135.41427040100098,2.265329360961914,6.316573262214661,12.035958528518677,58.8989372253418,7.844172477722168,108.85704040527344,2.188209295272827,7.289227724075317
simple_nn 48 3 0.0002 0.0 0.01 50 0.1,75.4982852935791,180.69671249389648,1.8444343209266663,7.280894160270691,12.090013265609741,97.0266227722168,4.516655683517456,115.52992057800293,1.6020877659320831,7.059246063232422
simple_nn 16 3 0.0003 0.05 0.01 50 0.2,57.141103744506836,122.36781692504883,3.401084065437317,6.5315715074539185,12.153910160064697,36.5574746131897,19.99169158935547,96.87911224365234,3.370183289051056,6.710396885871887
simple_nn 16 3 0.0003 0.05 0.01 50 0.3,58.77209949493408,111.39629173278809,3.4735493659973145,5.895630359649658,12.284618139266968,27.52434253692627,19.21358895301819,81.77789688110352,3.2817025780677795,6.000617980957031
simple_nn 16 3 0.0003 0.0 0.01 150 0.3,65.30474376678467,160.9989242553711,2.182760000228882,6.9426199197769165,12.36828088760376,76.26520156860352,4.671011805534363,108.9478816986084,1.6099406480789185,7.036775827407837
