,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 48 3 0.0002 0.0 0.01 300 0.3,24.2614426612854,87.46549797058105,19.243288040161133,109.30812072753906,3.1158827543258667,7.374097943305969
simple_nn 48 3 0.0002 0.0 0.01 150 0.1,25.60346794128418,94.97710800170898,22.04646587371826,117.16160011291504,3.268441677093506,7.435038924217224
simple_nn 48 3 0.0002 0.0 0.01 150 0.2,25.763965129852295,81.41379451751709,24.508183479309082,103.94317817687988,3.4946083426475525,7.170138955116272
simple_nn 48 3 0.0002 0.0 0.01 300 0.2,25.831527709960938,103.7578010559082,21.062779903411865,124.56121253967285,3.232853353023529,7.812010288238525
simple_nn 48 3 0.0002 0.0 0.01 300 0.1,25.961154460906982,102.22713088989258,18.860042810440063,124.25058364868164,3.061556875705719,7.958679556846619
simple_nn 48 3 0.0002 0.0 0.01 150 0.3,26.31667709350586,80.20437145233154,24.88192892074585,99.68165397644043,3.536052942276001,7.12291693687439
simple_nn 48 3 0.0002 0.0 0.01 450 0.1,26.4456148147583,95.73111343383789,18.79701018333435,100.60202121734619,3.0936939120292664,7.035226225852966
simple_nn 48 3 0.0002 0.0 0.01 50 0.1,27.175092697143555,100.43403053283691,32.65448713302612,134.16598320007324,4.018878519535065,7.979426383972168
simple_nn 48 5 0.0002 0.0 0.01 300 0.2,27.326847076416016,113.52147102355957,15.672519445419312,151.88110160827637,2.850404143333435,8.352325201034546
simple_nn 48 3 0.0003 0.0 0.01 300 0.3,27.456473350524902,83.99701976776123,28.970335960388184,111.84863471984863,3.700729489326477,7.215853214263916
