,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 32 1 0.0002 0.0 0.01,45.24528694152832,99.01955986022949,11.76986837387085,86.86218070983887,2.6850085854530334,6.566771864891052
simple_nn 16 3 0.0002 0.0 0.01,34.180320739746094,54.21770477294922,13.752659320831299,62.089088439941406,2.76200670003891,4.9292672872543335
simple_nn 32 1 0.0001 0.0 0.02,91.90206718444824,166.3569107055664,14.325468301773071,105.10936737060547,2.824380099773407,6.830155730247498
simple_nn 16 5 0.0002 0.0 0.01,45.888970375061035,68.9776086807251,14.647398233413696,69.02686214447021,2.978679120540619,4.928085029125214
simple_nn 16 5 0.0003 0.0 0.02,43.064316749572754,49.37739944458008,17.11615300178528,62.42478656768799,3.118863582611084,4.938433408737183
simple_nn 32 1 0.0002 0.0 0.02,57.28633785247803,113.10907363891602,17.169402837753296,97.00297164916992,3.167701482772827,6.787052512168884
simple_nn 16 1 0.0001 0.0 0.01,46.48552227020264,84.26733589172363,18.358272075653076,74.74689388275146,3.3247329592704773,5.995704650878906
simple_nn 16 3 0.0001 0.0 0.02,93.83458805084229,124.55464935302734,19.998806715011597,66.41218376159668,3.3720826506614685,5.249653697013855
simple_nn 16 3 0.0003 0.0 0.01,108.04450511932373,132.43518733978271,20.225830793380737,68.8179121017456,3.3162795305252075,5.486807227134705
simple_nn 16 1 0.0002 0.0 0.01,46.38585710525513,68.46677684783936,20.937217712402344,73.21730041503906,3.4988043308258057,5.837599396705627
