File accession,Actual Age,Predicted Mean Age,Predicted Stddev,Model Type
ENCFF032IZZ,60.5,60.249805,1.0608475,
ENCFF053KMZ,37.5,43.519753,0.93917286,
ENCFF057BYR,37.5,52.732048,1.0048139,
ENCFF084JUK,81.5,70.35901,1.1301242,
ENCFF091KQD,53.5,61.795597,1.0748338,
ENCFF114PLO,81.5,70.85593,1.1316887,
ENCFF119FKH,40.5,49.261677,0.97557706,
ENCFF120CVA,-0.4602739726027397,-2.6991997,0.6555209,
ENCFF120TOC,50.5,62.115505,1.069965,
ENCFF140ZIP,37.5,55.459053,1.0271813,
ENCFF190UNW,3.5,41.171,0.92248595,
ENCFF252OBP,37.5,53.224846,1.003987,
ENCFF283ZMI,51.5,58.02142,1.0389832,
ENCFF288QMN,54.5,66.79982,1.1041836,
ENCFF290HDV,75.5,68.66983,1.1124626,
ENCFF303PLE,3.5,33.38223,0.87475514,
ENCFF339CRV,53.5,36.19948,0.8909989,
ENCFF342IUX,53.5,53.64231,1.0048221,
ENCFF379GSJ,53.5,54.732327,1.0129147,
ENCFF427XFO,53.5,46.10282,0.95355386,
ENCFF431FFY,37.5,55.44029,1.0190207,
ENCFF451EGE,51.5,54.745644,1.0149071,
ENCFF487CTD,51.5,53.222702,1.0030038,
ENCFF496SXY,53.5,61.34105,1.0650091,
ENCFF501SGE,37.5,44.107574,0.94386363,
ENCFF534AMN,53.5,34.444386,0.87998015,
ENCFF536UKH,53.5,61.02949,1.0672659,
ENCFF571BDF,54.5,59.821117,1.0589721,
ENCFF576GES,53.5,61.492588,1.0716113,
ENCFF576TRI,75.5,66.98996,1.1000034,
ENCFF586MLV,74.5,72.378334,1.1451474,
ENCFF586WBH,53.5,62.441483,1.0759529,
ENCFF604OZO,-0.4657534246575342,-2.5028446,0.65578896,
ENCFF617PMJ,89.5,65.926674,1.093487,
ENCFF619HYF,34.5,51.24401,0.99790835,
ENCFF620GOU,37.5,50.572155,0.9897705,
ENCFF623WKE,30.5,39.752922,0.9099594,
ENCFF639IIQ,73.5,62.78596,1.0754004,
ENCFF645DEG,54.5,62.5675,1.0776323,
ENCFF672KET,51.5,42.366734,0.9307356,
ENCFF673DXP,62.5,49.659576,0.97816324,
ENCFF678USC,-0.5013698630136987,-2.5439885,0.6558005,
ENCFF696UEY,37.5,55.882736,1.0236502,
ENCFF713LKP,78.5,64.678085,1.0860106,
ENCFF735OIS,3.5,51.109398,0.9958925,
ENCFF773DOI,53.5,62.653828,1.0819298,
ENCFF773TCN,54.5,60.289677,1.0645298,
ENCFF786QHF,-0.3835616438356164,-2.0992107,0.6568422,
ENCFF797MIK,53.5,55.553196,1.0186806,
ENCFF811RQX,53.5,58.349964,1.042442,
ENCFF841IYY,53.5,55.04117,1.0155945,
ENCFF846MFS,37.5,52.553165,0.99948525,
ENCFF847QAK,54.5,59.286762,1.0527072,
ENCFF854YHI,37.5,56.284348,1.0283962,
ENCFF863PCN,37.5,58.010586,1.0373297,
ENCFF880UEZ,53.5,59.65594,1.0537376,
ENCFF882OND,37.5,51.660202,0.993514,
ENCFF889QTE,81.5,75.234245,1.1711373,
ENCFF929KNV,50.5,65.07752,1.0897237,
ENCFF952ONE,53.5,59.516323,1.0540899,
ENCFF954NRC,-0.4602739726027397,-2.033062,0.6571652,
ENCFF959OZR,51.5,45.93284,0.95360905,
ENCFF985SAO,59.5,65.71822,1.1051491,
ENCFF011PCV,81.5,74.87306,1.1262472,
ENCFF016NGG,53.5,58.12842,1.0167514,
ENCFF036WJV,30.5,22.938591,0.6981177,
ENCFF069BYH,41.5,56.784103,1.0190572,
ENCFF077FBW,41.5,40.099407,0.90902174,
ENCFF105NAF,51.5,59.31098,1.0364183,
ENCFF111SZU,-0.4575342465753425,1.9920971,0.6486725,
ENCFF112MIS,59.5,55.94092,1.014632,
ENCFF138VRG,54.5,59.775116,1.0323485,
ENCFF153YEE,53.5,51.618153,0.979548,
ENCFF162OOB,49.5,39.643154,0.8974751,
ENCFF169MHR,0.0,6.7255454,0.69011617,
ENCFF174HPH,0.0,14.071048,0.6841588,
ENCFF181HLF,51.5,55.57624,1.0090231,
ENCFF201UPO,37.5,44.76009,0.9235608,
ENCFF207OJA,41.5,59.73589,1.0364884,
ENCFF229BGF,37.5,32.16912,0.8419476,
ENCFF238MHL,81.5,32.61885,0.8256494,
ENCFF256HPN,53.5,31.91598,0.8247621,
ENCFF264ASR,46.5,58.354168,1.0306273,
ENCFF282VQS,51.5,51.333595,0.97612846,
ENCFF318DKR,54.5,60.654438,1.0393842,
ENCFF320PWH,-0.4657534246575342,-1.3178108,0.69238865,
ENCFF349BGH,56.5,54.528843,1.0027514,
ENCFF387XJD,53.5,58.33622,1.0192593,
ENCFF400NQI,53.5,60.876026,1.0432703,
ENCFF438QTX,81.5,78.521736,1.1537429,
ENCFF440XSS,41.5,58.613476,1.0300733,
ENCFF486KLP,25.5,17.341976,0.69955105,
ENCFF523VVA,87.5,73.81672,1.125681,
ENCFF566FYS,34.5,16.700932,0.69798356,
ENCFF569FQL,-0.4575342465753425,33.961292,0.8900505,
ENCFF579DHC,84.5,69.877266,1.1088527,
ENCFF583VWE,54.5,57.046688,1.0137162,
ENCFF615SIJ,45.5,15.330985,0.7086707,
ENCFF631LYE,56.5,45.866535,0.94934905,
ENCFF665CXY,54.5,57.682312,1.0204719,
ENCFF720HFS,51.5,65.31304,1.065484,
ENCFF729ZPF,67.5,56.03532,1.0179247,
ENCFF732JQY,87.5,77.07307,1.1407872,
ENCFF761IFJ,51.5,42.876637,0.926946,
ENCFF762CST,51.5,57.654156,1.0153337,
ENCFF772PDE,30.5,13.978645,0.7291565,
