,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 3 0.0001 0.0 0.01 50 0.1,53.29347801208496,146.19325637817383,1.4153586030006409,7.0863730907440186,15.535757780075073,74.21032905578613,11.087931394577026,99.73458290100098,2.6234543919563293,6.639767646789551
simple_nn 16 3 0.0001 0.0 0.01 50 0.2,56.20676803588867,148.11510467529297,1.7485357820987701,6.6657493114471436,14.944510221481323,81.54885005950928,10.012384295463562,103.84294891357422,2.4402244091033936,6.787497520446777
simple_nn 16 3 0.0001 0.0 0.01 50 0.3,60.465638160705566,158.64667510986328,2.2242302298545837,7.084739327430725,17.704808950424194,91.92264556884766,15.813235759735107,113.13436889648438,2.922174334526062,6.751497983932495
simple_nn 16 3 0.0001 0.0 0.01 150 0.1,66.41361618041992,167.39994049072266,1.4185511767864227,6.960673809051514,16.388335943222046,79.81577777862549,8.657831192016602,106.90371036529541,2.264587163925171,6.904593110084534
simple_nn 16 3 0.0001 0.0 0.01 150 0.2,68.30462074279785,155.3011245727539,1.6446011364459991,6.871061205863953,15.974241256713867,90.49827098846436,6.871755361557007,106.45105743408203,2.010227471590042,6.885360479354858
simple_nn 16 3 0.0001 0.0 0.01 150 0.3,75.82478523254395,154.9544906616211,2.1962194442749023,7.075526118278503,17.25568437576294,81.67640209197998,10.083693742752075,108.45176696777344,2.3959996104240417,7.328740119934082
simple_nn 16 3 0.0001 0.0 0.01 300 0.1,96.45504760742188,191.17404556274414,1.426236480474472,6.564453840255737,19.685673713684082,91.72478294372559,8.508274674415588,113.79674434661865,2.1909255981445312,6.640348196029663
simple_nn 16 3 0.0001 0.0 0.01 300 0.2,101.12350273132324,199.6001091003418,1.7964342832565308,6.821747660636902,20.149632930755615,92.64017677307129,9.429555654525757,105.45005226135254,2.2732527256011963,7.010724425315857
simple_nn 16 3 0.0001 0.0 0.01 300 0.3,105.5238094329834,194.37268829345703,2.094960570335388,6.755960583686829,17.93189764022827,81.70409965515137,7.17367959022522,104.94641971588135,2.0594767332077026,6.975082874298096
simple_nn 16 3 0.0001 0.0 0.01 450 0.1,129.6744842529297,212.94485092163086,1.5015454292297363,6.490062832832336,19.829957962036133,72.28676509857178,6.4504945278167725,83.49408721923828,1.9676502048969269,6.440739154815674
simple_nn 16 3 0.0001 0.0 0.01 450 0.2,136.40864944458008,231.9178123474121,1.8652568459510803,6.925718307495117,22.724277019500732,89.64386081695557,9.914711356163025,100.27270317077637,2.2284509539604187,6.7335546016693115
simple_nn 16 3 0.0001 0.0 0.01 450 0.3,141.69761657714844,259.0353469848633,2.248927116394043,7.466943740844727,21.611462593078613,113.4507007598877,9.049567341804504,129.58083152770996,2.209673374891281,7.60088050365448
simple_nn 16 3 0.0001 0.0 0.05 50 0.1,142.25964736938477,235.09134674072266,2.045825570821762,7.252033233642578,41.15824794769287,110.14960289001465,7.774617671966553,107.10562038421631,2.1478121876716614,7.129721999168396
simple_nn 16 3 0.0001 0.0 0.05 50 0.2,141.78022003173828,244.9964370727539,2.43588525056839,7.165174603462219,48.09988212585449,129.6629123687744,13.728732585906982,135.1911859512329,2.787835121154785,7.701602458953857
simple_nn 16 3 0.0001 0.0 0.05 50 0.3,147.95759201049805,247.58764266967773,2.7555412650108337,7.487607836723328,46.19477462768555,133.84237480163574,12.553537368774414,125.92559432983398,2.6814191341400146,7.95561146736145
simple_nn 16 3 0.0001 0.0 0.05 150 0.1,225.9969482421875,319.142333984375,1.9834877848625183,7.330394864082336,57.09008598327637,150.46839714050293,10.976589441299438,135.54325103759766,2.4448817670345306,7.962693452835083
simple_nn 16 3 0.0001 0.0 0.05 150 0.2,228.87604904174805,353.3398208618164,2.3677221536636353,7.729132175445557,54.51850986480713,148.31973838806152,9.659263253211975,136.75545692443848,2.277864843606949,7.781425356864929
simple_nn 16 3 0.0001 0.0 0.05 150 0.3,233.13176345825195,333.359619140625,2.6475303769111633,7.612872362136841,53.85944080352783,124.64308166503906,9.204324722290039,107.49796295166016,2.3522735238075256,7.422988057136536
simple_nn 16 3 0.0001 0.0 0.05 300 0.1,368.1608123779297,481.84793853759766,1.7174058854579926,7.701736688613892,58.53282928466797,143.09530639648438,7.446057319641113,121.26162528991699,2.08331698179245,7.657773017883301
simple_nn 16 3 0.0001 0.0 0.05 300 0.2,382.2070617675781,484.6755599975586,2.477520525455475,7.205652713775635,63.98025703430176,135.07633018493652,11.191310405731201,112.69496059417725,2.448891758918762,7.04134738445282
simple_nn 16 3 0.0001 0.0 0.05 300 0.3,388.89734649658203,476.0795593261719,2.687078833580017,7.377497434616089,69.10052299499512,134.19654846191406,15.778490781784058,100.44409942626953,2.8911398351192474,6.990484237670898
simple_nn 16 3 0.0001 0.0 0.05 450 0.1,523.9929733276367,612.8820495605469,2.010468304157257,6.660328269004822,61.94064521789551,119.66868209838867,6.0970299243927,88.9195704460144,1.9061961472034454,6.009544312953949
