,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 48 3 0.0001 0.0 0.01 50 0.1,42.44464063644409,129.4883327484131,45.83725357055664,150.18386840820312,5.014985680580139,9.116708278656006
simple_nn 48 3 0.0001 0.0 0.01 50 0.2,39.80532455444336,94.3784122467041,42.358909606933594,109.35909652709961,4.687784910202026,7.36139702796936
simple_nn 48 3 0.0001 0.0 0.01 50 0.3,40.74923515319824,115.35999298095703,47.47844219207764,139.56114196777344,5.200384736061096,8.532655477523804
simple_nn 48 3 0.0001 0.0 0.01 150 0.1,35.265380859375,119.65923500061035,32.489349365234375,132.88870811462402,4.08751255273819,7.93547797203064
simple_nn 48 3 0.0001 0.0 0.01 150 0.2,40.05455493927002,91.40072822570801,38.91733407974243,111.85475158691406,4.442668795585632,7.666228652000427
simple_nn 48 3 0.0001 0.0 0.01 150 0.3,33.41480493545532,92.33823013305664,33.17532396316528,121.94379615783691,4.128345012664795,7.961822986602783
simple_nn 48 3 0.0001 0.0 0.01 300 0.1,36.80884075164795,121.95432662963867,29.202006340026855,141.05923080444336,3.9705169200897217,8.750765323638916
simple_nn 48 3 0.0001 0.0 0.01 300 0.2,32.70152187347412,166.36623573303223,23.728435039520264,202.01655387878418,3.430692136287689,9.988227486610413
simple_nn 48 3 0.0001 0.0 0.01 300 0.3,34.89458179473877,117.13779830932617,28.378297328948975,139.6032886505127,3.82976496219635,8.434140801429749
simple_nn 48 3 0.0001 0.0 0.01 450 0.1,31.002368927001953,103.11216926574707,21.50623893737793,113.30448532104492,3.4026774764060974,7.920313358306885
simple_nn 48 3 0.0001 0.0 0.01 450 0.2,32.81136226654053,120.48366165161133,21.51520538330078,131.85568809509277,3.2413829565048218,8.36612617969513
simple_nn 48 3 0.0001 0.0 0.01 450 0.3,31.272470951080322,131.9844150543213,21.48399019241333,147.61638832092285,3.3276620507240295,8.65485668182373
simple_nn 48 3 0.0001 0.0 0.05 50 0.1,70.7881669998169,127.14555358886719,45.44038200378418,120.17700004577637,4.846127271652222,8.154257893562317
simple_nn 48 3 0.0001 0.0 0.05 50 0.2,67.20491981506348,121.62007713317871,41.69015407562256,120.60382652282715,4.701130509376526,7.849507570266724
simple_nn 48 3 0.0001 0.0 0.05 50 0.3,65.78160667419434,125.65898895263672,39.93854331970215,119.35377502441406,4.6048890352249146,7.9470332860946655
simple_nn 48 3 0.0001 0.0 0.05 150 0.1,69.88202667236328,168.4881935119629,26.086638927459717,144.94466400146484,3.6604506969451904,8.783281326293945
simple_nn 48 3 0.0001 0.0 0.05 150 0.2,71.66128635406494,179.4743709564209,31.093830585479736,147.05597305297852,3.9956510066986084,8.46297311782837
simple_nn 48 3 0.0001 0.0 0.05 150 0.3,73.5530834197998,157.1232509613037,33.222496509552,141.01046752929688,4.211395621299744,8.530007719993591
simple_nn 48 3 0.0001 0.0 0.05 300 0.1,86.10983657836914,186.53763961791992,32.09462356567383,162.46640396118164,3.8508076667785645,9.249157547950745
simple_nn 48 3 0.0001 0.0 0.05 300 0.2,76.5113754272461,186.16155242919922,24.72147226333618,160.12688636779785,3.5499767661094666,9.01082170009613
simple_nn 48 3 0.0001 0.0 0.05 300 0.3,81.00153350830078,179.8065948486328,29.038209438323975,156.96003341674805,3.8594269156455994,9.027985334396362
simple_nn 48 3 0.0001 0.0 0.05 450 0.1,76.75242805480957,193.5381622314453,16.764338731765747,161.6240520477295,3.069728136062622,9.043275356292725
simple_nn 48 3 0.0001 0.0 0.05 450 0.2,76.74587440490723,229.99309539794922,16.148775577545166,188.0059585571289,3.0710529685020447,9.71760094165802
simple_nn 48 3 0.0001 0.0 0.05 450 0.3,82.09982490539551,184.4349422454834,24.531485557556152,161.16738891601562,3.61396187543869,9.139204144477844
simple_nn 48 3 0.0001 0.0 0.1 50 0.1,97.22048377990723,151.57033920288086,42.55538368225098,113.77323341369629,4.85837185382843,7.662736892700195
simple_nn 48 3 0.0001 0.0 0.1 50 0.2,103.97975540161133,157.65917587280273,49.231228828430176,120.11454582214355,5.180792927742004,7.963652014732361
simple_nn 48 3 0.0001 0.0 0.1 50 0.3,106.6201343536377,175.57534790039062,53.12333583831787,138.77435684204102,5.284009218215942,8.412519097328186
simple_nn 48 3 0.0001 0.0 0.1 150 0.1,115.74714088439941,210.8828239440918,32.632737159729004,153.65031051635742,4.096197009086609,8.76122760772705
simple_nn 48 3 0.0001 0.0 0.1 150 0.2,120.71063423156738,210.1520652770996,38.80143928527832,167.1049289703369,4.471065998077393,9.18183445930481
simple_nn 48 3 0.0001 0.0 0.1 150 0.3,109.68234634399414,210.27009963989258,28.268405437469482,157.58592414855957,3.867325782775879,9.000673770904541
simple_nn 48 3 0.0001 0.0 0.1 300 0.1,127.23821258544922,306.90738677978516,28.33071279525757,238.36574935913086,3.7416054010391235,10.719224452972412
simple_nn 48 3 0.0001 0.0 0.1 300 0.2,133.69361877441406,281.1222686767578,34.2567195892334,209.51373672485352,3.866650402545929,10.549549341201782
simple_nn 48 3 0.0001 0.0 0.1 300 0.3,126.69978523254395,299.5235710144043,26.026034355163574,241.2372589111328,3.613692581653595,10.619529843330383
simple_nn 48 3 0.0001 0.0 0.1 450 0.1,131.1832275390625,286.04146575927734,20.305835485458374,210.3985137939453,3.3543031811714172,10.273341178894043
simple_nn 48 3 0.0001 0.0 0.1 450 0.2,130.87396430969238,297.92520904541016,19.50630807876587,218.70600700378418,3.114357650279999,9.871952772140503
simple_nn 48 3 0.0001 0.0 0.1 450 0.3,121.37203598022461,322.38540267944336,13.636471271514893,248.45984268188477,2.7357454895973206,11.434130191802979
simple_nn 48 3 0.0001 0.05 0.01 50 0.1,60.993327140808105,106.53009605407715,72.0161075592041,127.65755653381348,6.329956412315369,8.144948601722717
simple_nn 48 3 0.0001 0.05 0.01 50 0.2,51.86606407165527,109.96898746490479,61.491339683532715,131.9486541748047,5.933188319206238,8.100450992584229
simple_nn 48 3 0.0001 0.05 0.01 50 0.3,60.29962730407715,99.35753059387207,71.99144172668457,129.36975288391113,6.329749822616577,7.969852685928345
simple_nn 48 3 0.0001 0.05 0.01 150 0.1,48.66653919219971,99.27352714538574,53.512874603271484,131.72271347045898,5.501385569572449,7.737986087799072
simple_nn 48 3 0.0001 0.05 0.01 150 0.2,50.97564220428467,94.68848419189453,51.92330741882324,114.67925071716309,5.358213186264038,7.77390718460083
simple_nn 48 3 0.0001 0.05 0.01 150 0.3,55.592556953430176,104.03021240234375,58.24623966217041,121.87273979187012,5.70121443271637,7.894279718399048
simple_nn 48 3 0.0001 0.05 0.01 300 0.1,44.077908515930176,99.57825660705566,40.34747123718262,108.55445289611816,4.7200950384140015,7.608104586601257
simple_nn 48 3 0.0001 0.05 0.01 300 0.2,50.89214515686035,98.67559814453125,48.81169033050537,109.34068298339844,5.249990820884705,7.434148669242859
simple_nn 48 3 0.0001 0.05 0.01 300 0.3,52.95998954772949,83.2326078414917,53.82978820800781,96.54855155944824,5.542099237442017,7.083910822868347
simple_nn 48 3 0.0001 0.05 0.01 450 0.1,60.78224754333496,158.55601501464844,55.27510452270508,162.38663482666016,5.4345643520355225,8.816893339157104
simple_nn 48 3 0.0001 0.05 0.01 450 0.2,47.97550010681152,102.5656909942627,43.77697420120239,117.95505332946777,5.039708137512207,7.741002798080444
simple_nn 48 3 0.0001 0.05 0.01 450 0.3,50.25578308105469,107.22445678710938,45.94679355621338,115.24040412902832,5.071494698524475,7.310457825660706
simple_nn 48 3 0.0001 0.05 0.05 50 0.1,88.84752655029297,131.4490146636963,70.18055534362793,125.60903358459473,6.34768533706665,7.785436034202576
simple_nn 48 3 0.0001 0.05 0.05 50 0.2,95.87460327148438,156.7410717010498,75.22012901306152,162.68240928649902,6.587272882461548,8.772559642791748
simple_nn 48 3 0.0001 0.05 0.05 50 0.3,89.99996185302734,137.032564163208,72.13090324401855,138.74492645263672,6.288097620010376,8.332436442375183
simple_nn 48 3 0.0001 0.05 0.05 150 0.1,96.20390319824219,131.32066917419434,60.5667610168457,110.82585716247559,5.731181025505066,7.275120973587036
simple_nn 48 3 0.0001 0.05 0.05 150 0.2,92.21846771240234,120.23436546325684,60.100534439086914,102.1188850402832,5.810140013694763,7.38053834438324
simple_nn 48 3 0.0001 0.05 0.05 150 0.3,91.62334632873535,162.9248218536377,54.29285907745361,135.97762298583984,5.518482446670532,8.066539645195007
simple_nn 48 3 0.0001 0.05 0.05 300 0.1,100.5263729095459,175.66705322265625,54.080501556396484,156.71887588500977,5.41929030418396,9.01914095878601
simple_nn 48 3 0.0001 0.05 0.05 300 0.2,98.02248001098633,186.92191314697266,48.999568939208984,158.46448135375977,5.152273058891296,8.704553365707397
simple_nn 48 3 0.0001 0.05 0.05 300 0.3,98.12832260131836,152.1169719696045,52.60763740539551,126.83710098266602,5.49864649772644,8.451320052146912
simple_nn 48 3 0.0001 0.05 0.05 450 0.1,105.74049949645996,173.47524452209473,50.61943435668945,134.087797164917,5.358351349830627,8.096393704414368
simple_nn 48 3 0.0001 0.05 0.05 450 0.2,96.42460823059082,154.0201530456543,42.33069324493408,122.82401275634766,4.86309540271759,7.914291739463806
simple_nn 48 3 0.0001 0.05 0.05 450 0.3,99.08161926269531,153.8346061706543,41.58698797225952,116.42504692077637,4.977594256401062,7.811661720275879
simple_nn 48 3 0.0001 0.05 0.1 50 0.1,124.39935874938965,174.4390411376953,73.97120666503906,135.49874687194824,6.3832855224609375,8.229380011558533
simple_nn 48 3 0.0001 0.05 0.1 50 0.2,123.32118797302246,191.95124435424805,70.55691623687744,165.95200157165527,6.198495507240295,9.212434530258179
simple_nn 48 3 0.0001 0.05 0.1 50 0.3,132.4321460723877,173.91691207885742,82.76502799987793,138.3965244293213,6.87042772769928,8.522226572036743
simple_nn 48 3 0.0001 0.05 0.1 150 0.1,138.04751205444336,203.9317741394043,64.79427719116211,145.84700965881348,6.234587550163269,8.842763900756836
simple_nn 48 3 0.0001 0.05 0.1 150 0.2,135.8473129272461,205.02663040161133,62.33035087585449,148.39861488342285,5.976907730102539,8.540077209472656
simple_nn 48 3 0.0001 0.05 0.1 150 0.3,145.7095947265625,178.9454116821289,73.84412574768066,123.91815948486328,6.396355032920837,7.989525556564331
simple_nn 48 3 0.0001 0.05 0.1 300 0.1,150.1710433959961,241.05349349975586,56.029236793518066,163.501615524292,5.545224189758301,9.119835019111633
simple_nn 48 3 0.0001 0.05 0.1 300 0.2,145.2292366027832,247.1694450378418,50.397521018981934,179.24890518188477,5.3892998695373535,9.098228096961975
simple_nn 48 3 0.0001 0.05 0.1 300 0.3,138.53079795837402,230.9622039794922,46.91069984436035,161.71516609191895,5.266720294952393,9.051191329956055
simple_nn 48 3 0.0001 0.05 0.1 450 0.1,154.78756713867188,280.1070785522461,46.09498453140259,194.1395492553711,4.933960199356079,9.760893106460571
simple_nn 48 3 0.0001 0.05 0.1 450 0.2,148.83053588867188,296.20509338378906,43.3758807182312,207.72068977355957,4.9719579219818115,10.360015034675598
simple_nn 48 3 0.0001 0.05 0.1 450 0.3,158.05584716796875,244.0177764892578,53.1928071975708,165.00317764282227,5.2833675146102905,8.906721234321594
simple_nn 48 3 0.0001 0.1 0.01 50 0.1,64.89566898345947,124.74246215820312,79.25052070617676,151.5898723602295,6.77340304851532,8.79429829120636
simple_nn 48 3 0.0001 0.1 0.01 50 0.2,65.09516429901123,95.11181449890137,82.61226177215576,123.14800643920898,6.873583674430847,7.78841495513916
simple_nn 48 3 0.0001 0.1 0.01 50 0.3,60.625953674316406,108.79401969909668,76.12916660308838,143.18358039855957,6.601913928985596,8.212939023971558
simple_nn 48 3 0.0001 0.1 0.01 150 0.1,58.05046272277832,96.99998664855957,65.0339126586914,112.62722587585449,6.103656888008118,7.563643932342529
simple_nn 48 3 0.0001 0.1 0.01 150 0.2,70.05594062805176,93.82000923156738,80.24165630340576,110.73944759368896,6.612651824951172,7.535413861274719
simple_nn 48 3 0.0001 0.1 0.01 150 0.3,54.75416946411133,97.2664909362793,62.1724910736084,115.82261085510254,6.012976288795471,7.688582062721252
simple_nn 48 3 0.0001 0.1 0.01 300 0.1,66.39654922485352,132.35015869140625,69.1273889541626,148.14425086975098,6.3397098779678345,8.501826405525208
simple_nn 48 3 0.0001 0.1 0.01 300 0.2,55.55886268615723,85.77578544616699,58.11366367340088,104.71125984191895,5.683888554573059,7.185150742530823
