File accession,Actual Age,Predicted Mean Age,Predicted Stddev,Model Type
ENCFF032IZZ,60.5,37.51057,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF053KMZ,37.5,36.39318,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF057BYR,37.5,46.360622,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF084JUK,81.5,68.822205,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF091KQD,53.5,0.0,1.1615077,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF114PLO,81.5,74.57063,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF119FKH,40.5,44.183605,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF120CVA,-0.4602739726027397,0.0,1.2235563,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF120TOC,50.5,0.0,3.8573098,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF140ZIP,37.5,44.812588,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF190UNW,3.5,0.0,3.7977455,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF252OBP,37.5,38.317425,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF283ZMI,51.5,47.263344,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF288QMN,54.5,0.0,5.0261245,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF290HDV,75.5,80.61303,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF303PLE,3.5,0.0,1.798489,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF339CRV,53.5,45.094173,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF342IUX,53.5,47.885616,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF379GSJ,53.5,48.6488,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF427XFO,53.5,47.21919,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF431FFY,37.5,39.524403,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF451EGE,51.5,45.514217,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF487CTD,51.5,47.000504,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF496SXY,53.5,52.625694,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF501SGE,37.5,37.0492,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF534AMN,53.5,44.668034,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF536UKH,53.5,0.0,1.0515069,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF571BDF,54.5,30.680077,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF576GES,53.5,0.0,1.0732958,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF576TRI,75.5,73.45575,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF586MLV,74.5,70.4279,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF586WBH,53.5,47.941956,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF604OZO,-0.4657534246575342,0.0,0.8057399,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF617PMJ,89.5,72.43608,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF619HYF,34.5,0.0,3.868062,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF620GOU,37.5,47.231804,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF623WKE,30.5,32.19589,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF639IIQ,73.5,31.400284,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF645DEG,54.5,46.390472,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF672KET,51.5,42.697075,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF673DXP,62.5,0.0,1.3447365,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF678USC,-0.5013698630136987,0.0,1.769967,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF696UEY,37.5,0.0,1.38573,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF713LKP,78.5,56.14435,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF735OIS,3.5,0.0,1.8864862,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF773DOI,53.5,38.11709,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF773TCN,54.5,10.060955,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF786QHF,-0.3835616438356164,0.0,1.5713497,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF797MIK,53.5,55.695335,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF811RQX,53.5,46.274967,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF841IYY,53.5,48.560314,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF846MFS,37.5,37.87623,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF847QAK,54.5,41.49838,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF854YHI,37.5,29.282278,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF863PCN,37.5,39.308083,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF880UEZ,53.5,0.0,1.2733849,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF882OND,37.5,39.202126,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
ENCFF889QTE,81.5,69.01689,0.69414717,simple_nn_new 20 1 0.0001 0.0 0.005
