File accession,Actual Age,Predicted Mean Age,Predicted Stddev,Model Type
ENCFF032IZZ,60.5,56.870514,0.94921446,
ENCFF053KMZ,37.5,44.715626,0.88147974,
ENCFF057BYR,37.5,46.36878,0.89333284,
ENCFF084JUK,81.5,71.178955,1.025072,
ENCFF091KQD,53.5,59.60986,0.96476114,
ENCFF114PLO,81.5,71.1372,1.0248793,
ENCFF119FKH,40.5,57.390266,0.9477837,
ENCFF120CVA,-0.4602739726027397,-3.7743921,0.6751435,
ENCFF120TOC,50.5,67.577324,1.0084298,
ENCFF140ZIP,37.5,48.910755,0.9070945,
ENCFF190UNW,3.5,22.433329,0.7788432,
ENCFF252OBP,37.5,46.318306,0.89267135,
ENCFF283ZMI,51.5,57.46188,0.9505208,
ENCFF288QMN,54.5,65.072205,0.9918124,
ENCFF290HDV,75.5,73.88894,1.0395612,
ENCFF303PLE,3.5,33.756405,0.83398724,
ENCFF339CRV,53.5,48.69442,0.9019892,
ENCFF342IUX,53.5,57.621834,0.950588,
ENCFF379GSJ,53.5,57.175552,0.948018,
ENCFF427XFO,53.5,54.035305,0.9314579,
ENCFF431FFY,37.5,51.614433,0.91961384,
ENCFF451EGE,51.5,52.36686,0.923866,
ENCFF487CTD,51.5,54.83499,0.9364455,
ENCFF496SXY,53.5,55.726196,0.9428765,
ENCFF501SGE,37.5,43.759293,0.8760893,
ENCFF534AMN,53.5,47.961308,0.8979652,
ENCFF536UKH,53.5,57.39809,0.95268446,
ENCFF571BDF,54.5,49.743217,0.912481,
ENCFF576GES,53.5,58.69623,0.95980704,
ENCFF576TRI,75.5,73.70115,1.037755,
ENCFF586MLV,74.5,77.868416,1.0629573,
ENCFF586WBH,53.5,57.421837,0.95245475,
ENCFF604OZO,-0.4657534246575342,-3.424921,0.6757109,
ENCFF617PMJ,89.5,75.1726,1.0469279,
ENCFF619HYF,34.5,26.57719,0.80005896,
ENCFF620GOU,37.5,46.347313,0.8921258,
ENCFF623WKE,30.5,34.228447,0.8325664,
ENCFF639IIQ,73.5,61.214123,0.9731457,
ENCFF645DEG,54.5,57.113884,0.9511748,
ENCFF672KET,51.5,50.283733,0.911686,
ENCFF673DXP,62.5,50.50577,0.9169247,
ENCFF678USC,-0.5013698630136987,-2.965804,0.67712486,
ENCFF696UEY,37.5,41.380398,0.8672957,
ENCFF713LKP,78.5,68.72298,1.0114592,
ENCFF735OIS,3.5,35.096478,0.83617157,
ENCFF773DOI,53.5,59.76099,0.96573925,
ENCFF773TCN,54.5,47.3635,0.90054363,
ENCFF786QHF,-0.3835616438356164,-2.7183518,0.6781657,
ENCFF797MIK,53.5,52.17253,0.9248595,
ENCFF811RQX,53.5,51.810764,0.9230246,
ENCFF841IYY,53.5,55.046177,0.9365469,
ENCFF846MFS,37.5,50.332508,0.9123545,
ENCFF847QAK,54.5,48.097645,0.9027216,
ENCFF854YHI,37.5,49.649563,0.9112715,
ENCFF863PCN,37.5,51.547962,0.91979414,
ENCFF880UEZ,53.5,54.504574,0.9380157,
ENCFF882OND,37.5,47.19038,0.89679205,
ENCFF889QTE,81.5,80.43295,1.0783335,
ENCFF929KNV,50.5,68.06557,1.0091926,
ENCFF952ONE,53.5,51.16038,0.91935563,
ENCFF954NRC,-0.4602739726027397,-2.5964842,0.67850053,
ENCFF959OZR,51.5,49.6808,0.909436,
ENCFF985SAO,59.5,71.1824,1.0278722,
ENCFF011PCV,81.5,73.991714,1.0788327,
ENCFF016NGG,53.5,60.296665,1.0028579,
ENCFF036WJV,30.5,19.232517,0.7922806,
ENCFF069BYH,41.5,18.626997,0.77151,
ENCFF077FBW,41.5,40.568176,0.8875342,
ENCFF105NAF,51.5,39.297474,0.87941307,
ENCFF111SZU,-0.4575342465753425,3.6832092,0.7170997,
ENCFF112MIS,59.5,52.00499,0.95705205,
ENCFF138VRG,54.5,27.817451,0.81814784,
ENCFF153YEE,53.5,57.49448,0.9840206,
ENCFF162OOB,49.5,42.64931,0.9110356,
ENCFF169MHR,0.0,3.7047675,0.71670765,
ENCFF174HPH,0.0,3.5357716,0.716607,
ENCFF181HLF,51.5,33.580086,0.8486778,
ENCFF201UPO,37.5,37.622746,0.8810907,
ENCFF207OJA,41.5,46.437622,0.9203253,
ENCFF229BGF,37.5,20.1838,0.7832939,
ENCFF238MHL,81.5,39.911716,0.89682037,
ENCFF256HPN,53.5,49.48509,0.9450271,
ENCFF264ASR,46.5,35.171436,0.8702958,
ENCFF282VQS,51.5,49.60931,0.94436985,
ENCFF318DKR,54.5,25.422506,0.80566895,
ENCFF320PWH,-0.4657534246575342,4.4596033,0.7210256,
ENCFF349BGH,56.5,54.00471,0.9660333,
ENCFF387XJD,53.5,59.56445,0.99943566,
ENCFF400NQI,53.5,49.253006,0.9354482,
ENCFF438QTX,81.5,75.13088,1.08745,
ENCFF440XSS,41.5,33.607376,0.84855586,
ENCFF486KLP,25.5,35.416405,0.8712014,
ENCFF523VVA,87.5,72.48315,1.072148,
ENCFF566FYS,34.5,6.2647314,0.7289772,
ENCFF569FQL,-0.4575342465753425,4.357731,0.71816427,
ENCFF579DHC,84.5,53.949505,0.9667134,
ENCFF583VWE,54.5,27.217728,0.8153244,
ENCFF615SIJ,45.5,54.591293,0.9719477,
ENCFF631LYE,56.5,51.112225,0.95005524,
ENCFF665CXY,54.5,26.010458,0.8093727,
ENCFF720HFS,51.5,52.22773,0.95965904,
ENCFF729ZPF,67.5,50.74997,0.95023537,
ENCFF732JQY,87.5,70.51543,1.0605253,
ENCFF761IFJ,51.5,23.985022,0.7992787,
ENCFF762CST,51.5,54.61236,0.9732962,
ENCFF772PDE,30.5,26.177778,0.82487315,
ENCFF779PMH,54.5,48.484135,0.9332547,
ENCFF780NBB,51.5,55.984695,0.97838134,
ENCFF839NZT,-0.4383561643835616,3.7106369,0.7166284,
ENCFF862HHR,77.5,54.17869,0.96732,
ENCFF870EDZ,53.5,56.458817,0.98216593,
ENCFF884KHZ,-0.4328767123287671,5.228405,0.71897894,
ENCFF886LUE,54.5,53.929947,0.9683892,
ENCFF902HIA,59.5,56.913345,0.9853304,
ENCFF910MXI,59.5,55.62546,0.9746801,
ENCFF917LFF,53.5,56.213226,0.97931415,
ENCFF926FYT,51.5,54.358776,0.97141665,
ENCFF962JEC,78.5,52.578556,0.95725125,
ENCFF050YYY,30.5,7.4417157,0.70617026,
ENCFF061HFF,51.5,62.43242,1.0481004,
ENCFF062WLH,84.5,87.28387,1.2287203,
ENCFF066MLC,86.5,73.05795,1.1320792,
ENCFF083ENU,59.5,48.982594,0.9817666,
ENCFF122GSI,37.5,54.616585,0.9963896,
ENCFF127LVQ,51.5,46.967896,0.9686167,
ENCFF132YWJ,53.5,48.719433,0.97930396,
ENCFF141YUO,72.5,53.80621,0.9937626,
ENCFF184VIO,51.5,63.928215,1.0585219,
ENCFF187IWC,41.5,49.504826,0.9869982,
ENCFF198NDW,88.5,88.48953,1.2358354,
ENCFF230VWV,37.5,30.311218,0.8439375,
ENCFF237VMY,53.5,53.188286,1.0035397,
ENCFF263CSV,54.5,50.07711,0.97813374,
ENCFF271FIA,34.5,5.9173746,0.69306034,
ENCFF282SRM,75.5,70.538826,1.1093279,
ENCFF305GQX,54.5,53.625065,0.9984922,
ENCFF344ITP,37.5,48.686066,0.9569096,
ENCFF345SEW,89.5,90.315674,1.2525821,
ENCFF372LSW,53.5,48.47496,0.9723681,
ENCFF379RYN,0.0,5.1211815,0.69285315,
ENCFF389LZZ,-0.4410958904109589,1.5050883,0.6807283,
ENCFF393NEJ,83.5,84.74008,1.2075489,
ENCFF425FMW,76.5,65.42558,1.0832437,
ENCFF466ENV,54.5,51.80188,0.98417544,
ENCFF486AVO,-0.4383561643835616,16.076868,0.76229733,
ENCFF504XAW,53.5,5.59783,0.71222955,
ENCFF508OUM,37.5,45.516098,0.94089556,
ENCFF538GPP,-0.4986301369863014,1.7787077,0.6815353,
ENCFF614FJF,59.5,45.939037,0.96036595,
ENCFF624LJY,34.5,34.58501,0.88699484,
ENCFF629NQR,-0.4410958904109589,1.5224307,0.6807769,
ENCFF640NVF,30.5,38.351257,0.9168571,
ENCFF649AZP,54.5,49.89175,0.96803397,
ENCFF664UKA,34.5,10.959831,0.7231239,
ENCFF682UWZ,61.5,48.732826,0.98164064,
ENCFF683LBN,37.5,29.315807,0.8357185,
ENCFF693HQZ,51.5,59.592052,1.0278122,
ENCFF704GNL,37.5,28.495855,0.8329339,
ENCFF751MDE,37.5,48.63043,0.95724654,
ENCFF752DGV,71.5,87.015625,1.2222775,
ENCFF800VAP,51.5,59.896748,1.0399954,
ENCFF839JMI,-0.4712328767123288,25.14099,0.82192016,
ENCFF842QQE,59.5,46.20053,0.95485336,
ENCFF863EJN,54.5,53.180244,0.9973786,
ENCFF904YBG,51.5,54.063614,1.001503,
ENCFF978EHV,-0.4712328767123288,12.122522,0.7401534,
ENCFF995LGE,50.5,64.34428,1.0664717,
ENCFF996ZNX,37.5,45.89338,0.95087266,
ENCFF020YCR,-0.038356164383561646,1.9530457,0.6842544,
ENCFF051GOU,54.5,55.48199,1.0659634,
ENCFF051JTV,73.5,63.31114,1.1398712,
ENCFF051QIL,-0.3835616438356164,-2.3639832,0.66924316,
ENCFF056BKL,60.5,68.664566,1.1833568,
ENCFF081IBY,75.5,46.43041,0.9888794,
ENCFF089KQW,34.5,25.100489,0.8302449,
ENCFF145RER,53.5,47.1031,0.99429315,
ENCFF152PBB,46.5,46.36716,0.9869315,
ENCFF223CEC,34.5,14.469634,0.76797277,
ENCFF237QAL,60.5,71.00729,1.2038585,
ENCFF243MMI,53.5,44.45669,0.9723603,
ENCFF258MFR,54.5,55.226837,1.0635219,
ENCFF280QYJ,25.5,61.71133,1.1180714,
ENCFF285STS,37.5,48.112698,1.0014019,
ENCFF298AQY,78.5,68.214455,1.1794163,
ENCFF321LZL,51.5,50.445164,1.0283357,
ENCFF347MTT,81.5,72.90498,1.2236357,
ENCFF370MEL,61.5,63.258533,1.13488,
ENCFF376RDO,53.5,54.761803,1.0654553,
ENCFF391CHK,60.5,72.98825,1.2214776,
ENCFF405UOK,37.5,47.501286,0.9957786,
ENCFF512IEA,37.5,60.19949,1.1102704,
ENCFF513OZY,-0.5178082191780822,21.360601,0.8102142,
ENCFF520CVN,3.5,30.326815,0.8669104,
ENCFF561CAU,16.5,44.46397,0.97054225,
ENCFF568IBR,54.5,52.461494,1.0389993,
ENCFF585QLC,53.5,54.388515,1.063442,
ENCFF641DNV,53.5,62.060886,1.1262828,
ENCFF644MVM,34.5,53.587032,1.0550641,
ENCFF651XRK,53.5,50.54818,1.0257581,
ENCFF675KIN,53.5,50.39658,1.0213727,
ENCFF719ORU,54.5,51.6257,1.0330993,
ENCFF720WSA,37.5,41.24714,0.95372397,
ENCFF733OPS,81.5,72.26874,1.2187644,
ENCFF739NVT,53.5,51.599567,1.0319408,
ENCFF772JUK,54.5,55.593494,1.0662559,
ENCFF810IVC,54.5,55.675144,1.0664561,
ENCFF812IKG,37.5,48.376938,1.0042574,
ENCFF827GEQ,53.5,53.210938,1.0481477,
ENCFF838MXD,75.5,41.8507,0.9535704,
ENCFF849YNY,16.5,40.849167,0.9427932,
ENCFF854IJU,81.5,69.07521,1.187625,
ENCFF859MTR,53.5,52.952946,1.0527005,
ENCFF901QWB,37.5,49.342594,1.0194777,
ENCFF935CPK,51.5,52.16989,1.0422139,
ENCFF938WJH,53.5,50.302177,1.0216469,
ENCFF939ELA,-0.4904109589041096,1.8261478,0.68180156,
ENCFF941YCV,75.5,47.048206,0.9940581,
ENCFF958TLM,51.5,46.36563,0.9875671,
ENCFF976KIV,-0.4602739726027397,1.7518947,0.68159056,
ENCFF996QZC,37.5,42.267796,0.9625437,
